Day,Time,Intensity
2014/06/18,17:19:37.456,1514.74739
2014/06/18,17:19:37.566,1419.85125
2014/06/18,17:19:37.676,1331.94059
2014/06/18,17:19:37.786,1318.37256
2014/06/18,17:19:37.896,1435.15624
2014/06/18,17:19:38.006,1400.99615
2014/06/18,17:19:38.106,1398.91179
2014/06/18,17:19:38.216,1287.01156
2014/06/18,17:19:38.326,1263.51882
2014/06/18,17:19:38.436,1308.08798
2014/06/18,17:19:38.546,1357.54796
2014/06/18,17:19:38.656,1252.37324
2014/06/18,17:19:38.766,1308.51111
2014/06/18,17:19:38.876,1347.13288
2014/06/18,17:19:38.986,1410.50635
2014/06/18,17:19:39.096,1393.11542
2014/06/18,17:19:39.206,1336.20862
2014/06/18,17:19:39.316,1237.27937
2014/06/18,17:19:39.426,1354.17574
2014/06/18,17:19:39.526,1303.40113
2014/06/18,17:19:39.636,1177.04331
2014/06/18,17:19:39.746,1313.96383
2014/06/18,17:19:39.856,1377.45918
2014/06/18,17:19:39.966,1265.88934
2014/06/18,17:19:40.076,1329.07052
2014/06/18,17:19:40.186,1304.4229
2014/06/18,17:19:40.296,1380.3966
2014/06/18,17:19:40.406,1415.24354
2014/06/18,17:19:40.516,1314.39728
2014/06/18,17:19:40.626,1248.81995
2014/06/18,17:19:40.736,1468.92653
2014/06/18,17:19:40.836,1402.52063
2014/06/18,17:19:40.946,1296.01417
2014/06/18,17:19:41.056,1420.51066
2014/06/18,17:19:41.166,1373.38073
2014/06/18,17:19:41.276,1297.43197
2014/06/18,17:19:41.386,1423.39841
2014/06/18,17:19:41.496,1359.67438
2014/06/18,17:19:41.606,1444.41633
2014/06/18,17:19:41.716,1396.17075
2014/06/18,17:19:41.826,1274.93016
2014/06/18,17:19:41.936,1450.06009
2014/06/18,17:19:42.046,1413.77029
2014/06/18,17:19:42.156,1477.75578
2014/06/18,17:19:42.256,1393.43696
2014/06/18,17:19:42.366,1491.53265
2014/06/18,17:19:42.476,1357.83288
2014/06/18,17:19:42.586,1350.75351
2014/06/18,17:19:42.696,1537.78639
2014/06/18,17:19:42.806,1532.91519
2014/06/18,17:19:42.916,1301.6161
2014/06/18,17:19:43.026,1324.91723
2014/06/18,17:19:43.136,1404.17642
2014/06/18,17:19:43.246,1344.41814
2014/06/18,17:19:43.356,1385.1585
2014/06/18,17:19:43.466,1359.86213
2014/06/18,17:19:43.566,1370.02585
2014/06/18,17:19:43.676,1344.51406
2014/06/18,17:19:43.786,1379.91746
2014/06/18,17:19:43.896,1337.45125
2014/06/18,17:19:44.006,1391.03424
2014/06/18,17:19:44.116,1457.72177
2014/06/18,17:19:44.226,1347.68821
2014/06/18,17:19:44.336,1329.22426
2014/06/18,17:19:44.446,1269.90159
2014/06/18,17:19:44.556,1345.37778
2014/06/18,17:19:44.666,1273.88594
2014/06/18,17:19:44.776,1327.54286
2014/06/18,17:19:44.886,1193.60295
2014/06/18,17:19:44.986,1328.01247
2014/06/18,17:19:45.096,1363.22971
2014/06/18,17:19:45.206,1321.97188
2014/06/18,17:19:45.316,1392.00204
2014/06/18,17:19:45.426,1445.95374
2014/06/18,17:19:45.536,1355.08844
2014/06/18,17:19:45.646,1370.27574
2014/06/18,17:19:45.756,1603.01519
2014/06/18,17:19:45.866,1500.44739
2014/06/18,17:19:45.976,1491.478
2014/06/18,17:19:46.086,1384.02789
2014/06/18,17:19:46.196,1280.50544
2014/06/18,17:19:46.296,1450.55556
2014/06/18,17:19:46.406,1405.56825
2014/06/18,17:19:46.516,1334.93537
2014/06/18,17:19:46.626,1323.64127
2014/06/18,17:19:46.736,1402.78231
